file_name,pages,file_size_kb,has_text,word_count,character_count,status,error
daps copy.pdf,1,20.7,True,957,6950,Valid,
daps.pdf,1,20.7,True,957,6950,Valid,
darw-hbocwwb copy.pdf,1,19.67,True,782,6101,Valid,
darw-hbocwwb.pdf,1,19.67,True,782,6101,Valid,
darwhbocwwb copy.pdf,1,22.98,True,1282,9146,Valid,
darwhbocwwb.pdf,1,22.98,True,1282,9146,Valid,
darygbocwwb copy.pdf,1,19.15,True,709,5626,Valid,
darygbocwwb.pdf,1,19.15,True,709,5626,Valid,
day-nrlm copy.pdf,3,38.61,True,3227,22959,Valid,
day-nrlm.pdf,3,38.61,True,3227,22959,Valid,
db-gbocwwb copy.pdf,1,21.37,True,1114,8129,Valid,
db-gbocwwb.pdf,1,21.37,True,1114,8129,Valid,
dbabocwwb copy.pdf,1,21.33,True,1060,7962,Valid,
dbabocwwb.pdf,1,21.33,True,1060,7962,Valid,
dbanbocwwb copy.pdf,1,20.78,True,977,7322,Valid,
dbanbocwwb(1) copy.pdf,1,20.78,True,977,7322,Valid,
dbanbocwwb(1).pdf,1,20.78,True,977,7322,Valid,
dbanbocwwb.pdf,1,20.78,True,977,7322,Valid,
dbhs-2bhks copy.pdf,1,22.56,True,1198,7879,Valid,
dbhs-2bhks(1) copy.pdf,1,22.56,True,1198,7879,Valid,
dbhs-2bhks(1).pdf,1,22.56,True,1198,7879,Valid,
dbhs-2bhks.pdf,1,22.56,True,1198,7879,Valid,
dbmbocwwb copy.pdf,1,21.07,True,954,7544,Valid,
dbmbocwwb.pdf,1,21.07,True,954,7544,Valid,
dbramascs copy.pdf,1,21.0,True,888,6684,Valid,
dbramascs.pdf,1,21.0,True,888,6684,Valid,
dbrasa copy.pdf,1,21.36,True,1000,7628,Valid,
dbrasa.pdf,1,21.36,True,1000,7628,Valid,
dbs-pbaocwwb copy.pdf,1,21.14,True,1083,8143,Valid,
dbs-pbaocwwb.pdf,1,21.14,True,1083,8143,Valid,
